name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_TRAIN_job_000,sleep 71,4306.41,9447.39,0,621.97
LLM_INFER_job_001,sleep 2,179.59,385.85,2,51.05
VISION_TRAIN_job_002,sleep 38,2304.78,6744.00,1,1954.85
LLM_FT_job_003,sleep 40,2431.58,5018.25,1,2139.72
LLM_FT_job_004,sleep 40,2402.12,4997.07,2,525.71
VISION_TRAIN_job_005,sleep 21,1278.47,2035.08,1,145.84
DATA_PREP_job_006,sleep 3,219.93,502.18,0,1954.06
EVAL_job_007,sleep 12,754.59,1867.33,1,3191.82
LLM_TRAIN_job_008,sleep 67,4041.89,11512.80,1,2323.21
LLM_FT_job_009,sleep 34,2095.40,3540.19,1,3148.62
DATA_PREP_job_010,sleep 1,87.05,178.64,0,3446.55
VISION_TRAIN_job_011,sleep 12,726.63,1812.21,1,2430.59
LLM_INFER_job_012,sleep 4,246.99,635.45,2,2133.61
LLM_INFER_job_013,sleep 2,159.58,325.10,2,2406.62
DATA_PREP_job_014,sleep 7,454.80,892.00,1,3481.60
LLM_INFER_job_015,sleep 1,69.11,197.34,2,6.34
LLM_TRAIN_job_016,sleep 31,1861.39,5086.36,1,2411.52
LLM_TRAIN_job_017,sleep 61,3716.44,9779.27,1,1569.75
DATA_PREP_job_018,sleep 8,522.89,1343.08,0,2757.82
VISION_TRAIN_job_019,sleep 35,2125.43,3806.60,1,3086.39
LLM_FT_job_020,sleep 32,1955.38,3893.22,2,1971.71
LLM_TRAIN_job_021,sleep 62,3735.30,6654.92,0,2345.72
VISION_TRAIN_job_022,sleep 38,2325.88,4143.96,1,1228.99
EVAL_job_023,sleep 12,761.73,1211.95,1,2787.27
LLM_TRAIN_job_024,sleep 31,1885.48,5223.33,0,1991.30
VISION_TRAIN_job_025,sleep 17,1074.29,2842.91,1,533.25
LLM_FT_job_026,sleep 18,1095.13,2572.85,2,1207.83
LLM_FT_job_027,sleep 27,1665.18,3437.26,2,38.66
LLM_FT_job_028,sleep 31,1868.78,3227.58,1,3499.89
LLM_FT_job_029,sleep 16,978.93,2495.31,2,1658.01
DATA_PREP_job_030,sleep 8,488.94,982.52,1,3368.47
LLM_FT_job_031,sleep 36,2213.30,5445.95,2,3340.72
VISION_TRAIN_job_032,sleep 23,1399.74,4151.22,1,2754.37
EVAL_job_033,sleep 11,706.73,1956.28,2,3501.51
VISION_TRAIN_job_034,sleep 25,1532.47,2789.93,1,3480.02
VISION_TRAIN_job_035,sleep 10,644.68,1819.72,1,408.28
EVAL_job_036,sleep 13,816.93,2432.61,1,1313.36
LLM_FT_job_037,sleep 29,1774.85,3453.57,2,3279.80
LLM_INFER_job_038,sleep 3,226.56,378.74,2,3427.36
LLM_INFER_job_039,sleep 2,147.56,375.89,2,2344.58
LLM_FT_job_040,sleep 40,2405.04,6462.20,1,1131.54
LLM_INFER_job_041,sleep 4,298.76,714.09,2,1391.29
EVAL_job_042,sleep 5,356.29,617.81,1,538.80
LLM_FT_job_043,sleep 43,2589.10,6665.81,1,3453.20
LLM_FT_job_044,sleep 29,1799.66,3202.22,2,1974.05
DATA_PREP_job_045,sleep 1,117.23,239.62,0,2589.45
DATA_PREP_job_046,sleep 3,226.50,426.34,0,2514.64
VISION_TRAIN_job_047,sleep 25,1532.30,3621.60,1,154.31
VISION_TRAIN_job_048,sleep 26,1576.88,2386.47,1,2124.38
LLM_INFER_job_049,sleep 1,78.30,202.37,2,405.51
