name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_FT_job_000,sleep 30,1803.98,4928.16,1,745.74
DATA_PREP_job_001,sleep 3,198.15,460.20,1,1977.73
VISION_TRAIN_job_002,sleep 26,1586.61,3774.69,1,3315.70
LLM_INFER_job_003,sleep 2,126.65,191.41,2,2927.69
LLM_TRAIN_job_004,sleep 45,2729.53,7429.49,0,3352.27
LLM_FT_job_005,sleep 23,1439.44,3872.20,1,3209.78
DATA_PREP_job_006,sleep 1,75.92,133.00,0,2140.30
EVAL_job_007,sleep 14,889.21,2435.65,1,2120.98
LLM_FT_job_008,sleep 44,2675.17,4077.75,2,3290.34
EVAL_job_009,sleep 13,831.04,1707.55,2,2291.85
EVAL_job_010,sleep 9,548.81,1118.16,2,869.65
LLM_INFER_job_011,sleep 3,184.53,279.66,2,3155.65
DATA_PREP_job_012,sleep 8,484.42,1403.78,0,2465.90
LLM_INFER_job_013,sleep 4,255.32,701.06,2,2002.16
LLM_FT_job_014,sleep 30,1851.32,5173.72,2,1960.04
VISION_TRAIN_job_015,sleep 35,2144.35,5560.89,1,1255.41
LLM_FT_job_016,sleep 44,2661.25,5847.66,2,162.62
EVAL_job_017,sleep 9,550.15,1068.24,2,1954.80
DATA_PREP_job_018,sleep 5,356.98,1009.39,0,1956.00
LLM_TRAIN_job_019,sleep 57,3471.50,5265.88,0,2154.50
VISION_TRAIN_job_020,sleep 31,1906.57,4291.91,1,3499.00
VISION_TRAIN_job_021,sleep 27,1667.61,3618.17,1,3140.75
LLM_TRAIN_job_022,sleep 76,4591.68,12275.71,1,1764.34
LLM_INFER_job_023,sleep 4,265.72,526.12,2,2760.36
VISION_TRAIN_job_024,sleep 22,1335.72,2653.61,1,2615.86
LLM_TRAIN_job_025,sleep 37,2271.32,4141.24,1,1977.36
LLM_FT_job_026,sleep 26,1603.67,4387.66,2,3496.51
LLM_TRAIN_job_027,sleep 49,2967.07,5738.91,1,2007.66
LLM_TRAIN_job_028,sleep 59,3543.03,9477.27,0,3495.71
LLM_FT_job_029,sleep 42,2537.41,5653.43,1,267.84
LLM_FT_job_030,sleep 38,2286.62,6188.46,1,926.48
DATA_PREP_job_031,sleep 9,566.83,859.20,0,2742.09
EVAL_job_032,sleep 12,720.27,1225.87,2,3350.97
LLM_INFER_job_033,sleep 2,177.29,387.88,2,164.68
LLM_TRAIN_job_034,sleep 89,5341.66,12073.98,0,460.93
DATA_PREP_job_035,sleep 6,414.26,940.09,1,3411.86
LLM_INFER_job_036,sleep 4,250.76,559.01,2,2091.88
VISION_TRAIN_job_037,sleep 24,1467.23,2571.07,1,3501.09
LLM_FT_job_038,sleep 21,1303.66,3549.98,1,735.92
DATA_PREP_job_039,sleep 7,455.72,694.84,0,3321.74
LLM_TRAIN_job_040,sleep 79,4792.51,7786.67,1,1968.15
LLM_TRAIN_job_041,sleep 30,1831.81,4751.49,1,182.98
LLM_TRAIN_job_042,sleep 75,4539.55,10607.75,1,3027.59
LLM_FT_job_043,sleep 34,2041.94,4067.75,1,2106.34
LLM_INFER_job_044,sleep 1,70.77,140.85,2,2001.25
LLM_INFER_job_045,sleep 2,139.38,401.59,2,960.11
DATA_PREP_job_046,sleep 9,581.81,1235.40,0,2015.34
DATA_PREP_job_047,sleep 8,512.80,789.35,1,3035.52
VISION_TRAIN_job_048,sleep 38,2295.97,5106.69,1,849.94
DATA_PREP_job_049,sleep 7,463.64,1121.08,0,1965.27
