name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_TRAIN_job_000,sleep 54,3287.67,8640.56,0,420.92
VISION_TRAIN_job_001,sleep 32,1965.03,4288.15,1,1732.07
VISION_TRAIN_job_002,sleep 25,1507.70,3624.27,1,2004.33
LLM_INFER_job_003,sleep 1,119.70,255.54,2,583.46
LLM_FT_job_004,sleep 25,1545.06,4546.78,1,3184.29
VISION_TRAIN_job_005,sleep 30,1838.22,3326.06,1,1967.79
VISION_TRAIN_job_006,sleep 26,1573.21,2679.86,1,3494.27
LLM_FT_job_007,sleep 32,1948.61,4354.29,2,2163.70
DATA_PREP_job_008,sleep 3,205.49,521.05,0,1985.08
LLM_INFER_job_009,sleep 1,95.70,155.71,2,1035.24
LLM_TRAIN_job_010,sleep 71,4294.90,10719.77,1,2661.08
DATA_PREP_job_011,sleep 8,515.25,1361.30,1,3342.55
VISION_TRAIN_job_012,sleep 14,885.13,2611.04,1,3154.54
VISION_TRAIN_job_013,sleep 24,1489.28,2436.44,1,3250.22
VISION_TRAIN_job_014,sleep 16,1016.88,2325.80,1,2928.91
VISION_TRAIN_job_015,sleep 21,1269.59,3073.74,1,1958.91
LLM_FT_job_016,sleep 22,1373.01,2942.36,2,3432.31
DATA_PREP_job_017,sleep 4,254.41,638.70,0,2855.41
LLM_INFER_job_018,sleep 1,89.31,255.47,2,3492.33
VISION_TRAIN_job_019,sleep 21,1278.36,2898.24,1,73.07
VISION_TRAIN_job_020,sleep 19,1163.90,3391.97,1,3049.71
LLM_TRAIN_job_021,sleep 32,1920.23,4177.59,0,260.39
EVAL_job_022,sleep 11,684.17,1291.60,1,2156.96
LLM_INFER_job_023,sleep 4,263.64,584.43,2,83.19
LLM_FT_job_024,sleep 20,1207.63,2214.98,1,2042.10
DATA_PREP_job_025,sleep 6,386.54,786.57,0,2083.06
LLM_TRAIN_job_026,sleep 55,3341.01,5461.18,0,2900.81
LLM_INFER_job_027,sleep 4,291.84,559.24,2,3457.01
LLM_FT_job_028,sleep 28,1690.61,3328.55,1,1962.01
LLM_FT_job_029,sleep 34,2089.35,5162.09,2,2102.81
LLM_FT_job_030,sleep 16,964.76,2772.27,1,2726.22
VISION_TRAIN_job_031,sleep 22,1352.11,3875.64,1,3307.80
LLM_INFER_job_032,sleep 2,126.04,213.93,2,2266.82
DATA_PREP_job_033,sleep 1,115.68,190.26,1,1212.83
LLM_TRAIN_job_034,sleep 44,2681.27,5901.16,1,2277.08
VISION_TRAIN_job_035,sleep 19,1161.43,2586.72,1,173.38
LLM_TRAIN_job_036,sleep 33,2029.27,4320.51,0,3244.15
LLM_TRAIN_job_037,sleep 89,5358.11,12070.91,1,95.44
VISION_TRAIN_job_038,sleep 14,886.42,2101.05,1,2732.49
DATA_PREP_job_039,sleep 2,173.02,345.73,0,15.98
EVAL_job_040,sleep 12,733.47,1800.85,2,1290.95
LLM_TRAIN_job_041,sleep 66,3997.74,6100.64,0,3426.66
DATA_PREP_job_042,sleep 5,326.79,964.58,0,387.58
LLM_FT_job_043,sleep 26,1597.49,2537.27,1,465.28
LLM_TRAIN_job_044,sleep 73,4415.78,7732.41,1,3497.46
LLM_FT_job_045,sleep 30,1840.12,4765.10,2,1149.98
EVAL_job_046,sleep 8,497.86,1429.18,1,1755.82
LLM_INFER_job_047,sleep 1,70.73,152.11,2,3334.47
LLM_INFER_job_048,sleep 2,120.30,219.95,2,3501.15
LLM_TRAIN_job_049,sleep 85,5159.95,10874.58,0,2009.90
