name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_INFER_job_000,sleep 1,91.65,179.03,2,2831.08
VISION_TRAIN_job_001,sleep 23,1384.54,3752.41,1,694.31
LLM_INFER_job_002,sleep 1,112.90,263.59,2,2481.74
LLM_INFER_job_003,sleep 1,66.71,113.32,2,3050.13
EVAL_job_004,sleep 2,164.15,476.79,2,3501.51
LLM_TRAIN_job_005,sleep 44,2658.89,4046.28,1,1627.18
VISION_TRAIN_job_006,sleep 20,1234.30,2221.65,1,3140.54
LLM_TRAIN_job_007,sleep 35,2151.15,5129.81,0,3483.81
DATA_PREP_job_008,sleep 3,181.91,401.57,1,2360.38
DATA_PREP_job_009,sleep 1,119.99,246.12,1,26.53
DATA_PREP_job_010,sleep 1,60.41,152.56,1,3467.16
LLM_INFER_job_011,sleep 3,205.11,421.13,2,697.32
VISION_TRAIN_job_012,sleep 31,1887.79,5459.50,1,2100.38
LLM_FT_job_013,sleep 19,1185.74,2940.08,2,2039.48
VISION_TRAIN_job_014,sleep 26,1589.39,3758.22,1,1981.99
EVAL_job_015,sleep 8,533.00,875.12,1,119.81
VISION_TRAIN_job_016,sleep 30,1827.19,5200.29,1,2311.49
LLM_INFER_job_017,sleep 4,261.72,569.43,2,348.20
LLM_INFER_job_018,sleep 1,112.02,312.11,2,2380.51
DATA_PREP_job_019,sleep 4,250.39,577.74,0,2833.17
LLM_FT_job_020,sleep 15,935.92,2770.41,2,2104.22
LLM_TRAIN_job_021,sleep 43,2630.56,5201.94,0,2051.96
VISION_TRAIN_job_022,sleep 12,725.76,2004.54,1,1967.99
LLM_TRAIN_job_023,sleep 45,2748.04,4665.09,1,992.28
DATA_PREP_job_024,sleep 1,99.22,161.77,0,3448.10
VISION_TRAIN_job_025,sleep 28,1732.32,5007.73,1,676.53
DATA_PREP_job_026,sleep 1,111.84,297.36,1,2704.61
VISION_TRAIN_job_027,sleep 19,1193.57,2330.95,1,2867.93
LLM_INFER_job_028,sleep 1,105.36,230.31,2,39.28
VISION_TRAIN_job_029,sleep 13,816.65,1718.36,1,98.93
LLM_FT_job_030,sleep 42,2547.08,5862.84,1,106.94
LLM_FT_job_031,sleep 35,2101.74,4808.66,1,3501.47
VISION_TRAIN_job_032,sleep 33,2020.62,5973.20,1,140.77
LLM_INFER_job_033,sleep 1,85.25,136.19,2,1265.44
LLM_FT_job_034,sleep 17,1076.19,2773.12,1,3204.31
DATA_PREP_job_035,sleep 2,122.02,238.69,0,400.17
LLM_INFER_job_036,sleep 4,270.81,435.76,2,2403.00
LLM_FT_job_037,sleep 22,1324.53,2789.30,2,2240.42
LLM_INFER_job_038,sleep 2,142.79,399.01,2,1978.76
DATA_PREP_job_039,sleep 5,330.43,963.08,0,2256.05
DATA_PREP_job_040,sleep 7,429.97,919.36,0,3069.42
LLM_FT_job_041,sleep 22,1350.57,2994.92,2,2368.39
LLM_INFER_job_042,sleep 4,273.61,655.72,2,420.11
LLM_TRAIN_job_043,sleep 80,4826.22,13076.11,0,2779.88
LLM_FT_job_044,sleep 35,2159.25,6134.35,1,2163.97
DATA_PREP_job_045,sleep 8,535.20,859.33,0,2035.01
EVAL_job_046,sleep 10,621.50,1814.07,2,379.13
LLM_INFER_job_047,sleep 3,182.15,357.26,2,1345.74
LLM_FT_job_048,sleep 35,2103.01,4236.73,1,843.14
LLM_INFER_job_049,sleep 3,203.49,308.10,2,3499.50
