name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_INFER_job_000,sleep 3,190.07,335.48,2,1988.72
LLM_FT_job_001,sleep 21,1304.44,2152.67,2,3489.02
VISION_TRAIN_job_002,sleep 21,1281.17,3250.28,1,2913.62
LLM_INFER_job_003,sleep 2,141.32,245.69,2,1797.90
VISION_TRAIN_job_004,sleep 18,1086.00,3165.35,1,2115.62
LLM_TRAIN_job_005,sleep 53,3189.16,9169.91,0,3350.24
LLM_TRAIN_job_006,sleep 74,4489.62,7027.00,1,2387.91
VISION_TRAIN_job_007,sleep 32,1929.49,5338.28,1,2944.32
LLM_INFER_job_008,sleep 2,173.01,467.64,2,3235.44
LLM_FT_job_009,sleep 28,1720.03,4344.17,2,2280.14
VISION_TRAIN_job_010,sleep 39,2352.02,4508.72,1,2650.60
LLM_FT_job_011,sleep 15,926.26,2288.03,2,2541.35
EVAL_job_012,sleep 6,398.21,663.93,2,1032.89
LLM_TRAIN_job_013,sleep 43,2605.66,7812.76,0,2795.66
VISION_TRAIN_job_014,sleep 24,1453.10,4212.20,1,613.77
VISION_TRAIN_job_015,sleep 18,1128.66,2153.56,1,3237.58
LLM_INFER_job_016,sleep 1,102.82,258.82,2,3483.28
LLM_FT_job_017,sleep 43,2629.68,4200.42,2,1603.79
LLM_INFER_job_018,sleep 2,177.04,345.19,2,1811.57
LLM_FT_job_019,sleep 41,2488.75,4918.01,1,3213.99
EVAL_job_020,sleep 10,632.70,1368.17,2,245.32
EVAL_job_021,sleep 3,185.70,493.22,2,1958.22
VISION_TRAIN_job_022,sleep 25,1505.69,2336.82,1,2553.13
VISION_TRAIN_job_023,sleep 12,731.42,1549.63,1,1691.53
EVAL_job_024,sleep 7,473.05,1366.29,2,543.92
LLM_INFER_job_025,sleep 2,136.59,306.61,2,2212.00
LLM_TRAIN_job_026,sleep 84,5083.36,12835.32,1,2047.29
LLM_INFER_job_027,sleep 4,291.03,736.34,2,2617.34
LLM_FT_job_028,sleep 19,1181.47,3539.66,2,646.27
LLM_FT_job_029,sleep 31,1864.24,3158.10,1,1141.16
LLM_INFER_job_030,sleep 1,78.53,180.65,2,340.48
VISION_TRAIN_job_031,sleep 19,1154.63,3325.65,1,522.72
VISION_TRAIN_job_032,sleep 30,1840.29,4399.35,1,2177.41
EVAL_job_033,sleep 10,604.68,938.02,1,1856.03
LLM_TRAIN_job_034,sleep 30,1857.96,4354.30,0,249.23
DATA_PREP_job_035,sleep 7,436.92,903.02,1,1704.16
LLM_FT_job_036,sleep 23,1394.38,2642.43,2,655.98
DATA_PREP_job_037,sleep 2,148.23,329.10,1,2092.98
LLM_INFER_job_038,sleep 4,273.71,734.50,2,3328.85
LLM_INFER_job_039,sleep 2,150.70,407.35,2,3256.84
VISION_TRAIN_job_040,sleep 17,1053.19,2990.47,1,1256.31
LLM_FT_job_041,sleep 25,1554.60,3045.81,2,3055.65
LLM_INFER_job_042,sleep 3,228.46,421.64,2,352.03
LLM_TRAIN_job_043,sleep 76,4584.43,11524.28,1,1133.11
LLM_INFER_job_044,sleep 4,287.34,451.55,2,3483.48
VISION_TRAIN_job_045,sleep 32,1964.60,4913.26,1,2355.49
LLM_FT_job_046,sleep 38,2335.59,6809.19,1,3350.13
LLM_FT_job_047,sleep 18,1117.77,1780.54,1,3158.99
LLM_INFER_job_048,sleep 2,145.89,230.32,2,2180.81
VISION_TRAIN_job_049,sleep 31,1883.24,4673.43,1,2346.35
