name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_INFER_job_000,sleep 2,163.24,328.97,2,3235.67
LLM_INFER_job_001,sleep 1,69.82,107.20,2,3013.36
LLM_TRAIN_job_002,sleep 86,5193.54,13429.38,0,2290.88
EVAL_job_003,sleep 13,821.02,1514.83,2,3490.34
LLM_INFER_job_004,sleep 1,118.09,304.10,2,3496.67
VISION_TRAIN_job_005,sleep 26,1604.02,2980.16,1,2484.18
LLM_TRAIN_job_006,sleep 35,2152.61,4870.19,1,3474.55
LLM_TRAIN_job_007,sleep 82,4939.00,12588.59,1,1273.68
LLM_FT_job_008,sleep 37,2239.52,5390.49,2,2410.38
DATA_PREP_job_009,sleep 8,497.38,1433.95,1,2195.81
LLM_INFER_job_010,sleep 1,69.63,185.87,2,2084.42
EVAL_job_011,sleep 8,525.13,877.44,1,1220.18
LLM_INFER_job_012,sleep 2,120.75,348.81,2,3412.19
LLM_INFER_job_013,sleep 4,295.47,799.69,2,3501.46
LLM_TRAIN_job_014,sleep 60,3640.45,8062.73,1,3343.00
LLM_INFER_job_015,sleep 4,242.20,689.99,2,3398.22
EVAL_job_016,sleep 10,617.89,1695.68,1,2113.93
LLM_FT_job_017,sleep 27,1676.95,4695.83,1,2340.40
LLM_FT_job_018,sleep 42,2557.74,4360.92,2,520.70
LLM_INFER_job_019,sleep 1,85.94,213.04,2,3179.87
LLM_TRAIN_job_020,sleep 31,1874.60,3321.35,1,120.88
LLM_FT_job_021,sleep 38,2291.17,4995.64,1,3414.96
VISION_TRAIN_job_022,sleep 15,915.22,2118.89,1,666.34
DATA_PREP_job_023,sleep 3,186.63,314.42,0,191.67
LLM_FT_job_024,sleep 41,2482.65,6005.47,1,2040.36
LLM_INFER_job_025,sleep 4,242.98,725.17,2,3357.20
VISION_TRAIN_job_026,sleep 20,1216.89,2034.51,1,157.57
LLM_INFER_job_027,sleep 2,132.67,296.38,2,2039.89
LLM_TRAIN_job_028,sleep 60,3628.35,8996.24,1,1959.15
DATA_PREP_job_029,sleep 4,294.67,779.45,0,3494.14
DATA_PREP_job_030,sleep 3,215.32,485.24,0,2877.27
LLM_INFER_job_031,sleep 2,139.47,332.15,2,3282.31
EVAL_job_032,sleep 14,882.25,2231.23,1,3273.71
EVAL_job_033,sleep 4,267.64,417.88,2,3041.51
LLM_INFER_job_034,sleep 2,152.09,253.01,2,2756.14
LLM_INFER_job_035,sleep 4,249.79,529.09,2,3474.36
VISION_TRAIN_job_036,sleep 12,764.60,1734.57,1,2052.37
LLM_INFER_job_037,sleep 2,139.86,388.34,2,2069.66
DATA_PREP_job_038,sleep 7,461.75,934.89,0,2539.88
EVAL_job_039,sleep 10,614.47,1115.83,1,1654.94
LLM_INFER_job_040,sleep 3,218.72,426.34,2,2151.62
LLM_FT_job_041,sleep 35,2114.09,4692.33,1,698.72
LLM_INFER_job_042,sleep 2,169.78,462.12,2,3142.94
LLM_FT_job_043,sleep 24,1445.54,3085.68,2,2029.12
LLM_INFER_job_044,sleep 1,116.28,220.31,2,3487.02
EVAL_job_045,sleep 10,644.99,1904.37,2,2704.91
VISION_TRAIN_job_046,sleep 15,923.10,2512.44,1,2896.52
VISION_TRAIN_job_047,sleep 15,926.63,1961.24,1,260.82
LLM_INFER_job_048,sleep 4,283.35,690.44,2,2857.86
VISION_TRAIN_job_049,sleep 10,601.36,1312.58,1,3429.23
