name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_FT_job_000,sleep 29,1778.45,3571.31,1,278.40
LLM_INFER_job_001,sleep 1,87.56,256.95,2,2203.55
DATA_PREP_job_002,sleep 1,95.98,272.98,0,1690.21
LLM_FT_job_003,sleep 40,2426.54,3912.62,2,2791.54
LLM_TRAIN_job_004,sleep 33,2005.90,3973.68,1,89.91
DATA_PREP_job_005,sleep 9,579.84,947.89,1,334.28
LLM_FT_job_006,sleep 26,1596.20,4179.96,2,1963.42
VISION_TRAIN_job_007,sleep 11,707.76,2029.60,1,1967.01
LLM_FT_job_008,sleep 38,2319.49,5954.82,2,1481.92
LLM_FT_job_009,sleep 27,1646.09,2823.30,2,2072.83
VISION_TRAIN_job_010,sleep 26,1608.26,3655.15,1,194.09
VISION_TRAIN_job_011,sleep 26,1577.89,4193.12,1,3309.67
LLM_FT_job_012,sleep 20,1229.17,1935.50,1,3344.47
LLM_TRAIN_job_013,sleep 84,5093.49,12371.74,1,2821.17
LLM_INFER_job_014,sleep 2,139.04,343.09,2,2243.01
LLM_INFER_job_015,sleep 1,95.68,282.75,2,61.27
LLM_TRAIN_job_016,sleep 66,3998.43,11361.10,0,2334.34
VISION_TRAIN_job_017,sleep 39,2360.44,4120.23,1,2275.85
DATA_PREP_job_018,sleep 9,546.21,1046.58,1,3214.95
DATA_PREP_job_019,sleep 2,147.94,228.59,1,3485.89
VISION_TRAIN_job_020,sleep 35,2103.97,3894.62,1,2962.16
LLM_INFER_job_021,sleep 3,197.93,575.82,2,2175.90
VISION_TRAIN_job_022,sleep 27,1662.84,4091.55,1,1977.17
VISION_TRAIN_job_023,sleep 27,1658.11,4747.20,1,174.43
DATA_PREP_job_024,sleep 1,93.41,250.41,1,294.61
DATA_PREP_job_025,sleep 9,568.56,1567.94,1,2228.42
VISION_TRAIN_job_026,sleep 31,1890.76,4706.52,1,2907.94
VISION_TRAIN_job_027,sleep 21,1293.47,2061.20,1,2086.72
EVAL_job_028,sleep 5,327.43,563.73,2,2064.92
LLM_FT_job_029,sleep 27,1631.30,4087.03,2,2610.03
VISION_TRAIN_job_030,sleep 33,2036.85,4695.13,1,2036.16
VISION_TRAIN_job_031,sleep 33,2036.58,5263.96,1,2351.37
VISION_TRAIN_job_032,sleep 18,1099.98,2754.47,1,1979.99
VISION_TRAIN_job_033,sleep 32,1934.51,5151.35,1,2869.95
LLM_INFER_job_034,sleep 1,64.69,149.29,2,485.76
LLM_TRAIN_job_035,sleep 54,3282.47,7096.66,1,2340.35
LLM_FT_job_036,sleep 41,2464.83,7015.19,1,2192.32
LLM_INFER_job_037,sleep 2,127.89,342.38,2,2662.28
VISION_TRAIN_job_038,sleep 23,1421.43,3941.57,1,2456.42
EVAL_job_039,sleep 3,183.06,518.19,2,3475.21
LLM_FT_job_040,sleep 30,1836.27,5321.00,1,1976.90
LLM_INFER_job_041,sleep 4,241.58,540.76,2,2016.52
VISION_TRAIN_job_042,sleep 22,1342.77,3768.58,1,2830.99
LLM_INFER_job_043,sleep 1,84.55,241.70,2,1350.68
LLM_INFER_job_044,sleep 2,166.16,260.07,2,558.32
VISION_TRAIN_job_045,sleep 15,939.22,1832.80,1,721.85
EVAL_job_046,sleep 12,751.16,2213.03,1,3272.77
LLM_FT_job_047,sleep 33,2021.14,3559.99,1,3038.17
DATA_PREP_job_048,sleep 8,514.19,1339.69,1,2821.15
LLM_FT_job_049,sleep 18,1082.91,3004.14,2,2085.45
