name,command,est_runtime_s,deadline_s,priority,submit_time
LLM_INFER_job_000,sleep 2,123.88,230.88,2,3276.69
DATA_PREP_job_001,sleep 3,238.23,437.52,0,3498.63
EVAL_job_002,sleep 6,390.80,789.91,1,357.94
LLM_FT_job_003,sleep 44,2650.28,6375.71,2,2245.40
VISION_TRAIN_job_004,sleep 37,2247.71,5708.55,1,2178.57
DATA_PREP_job_005,sleep 6,407.29,749.75,1,3094.13
DATA_PREP_job_006,sleep 4,294.58,530.73,1,2345.69
LLM_FT_job_007,sleep 35,2146.43,4087.87,1,3269.26
LLM_INFER_job_008,sleep 1,89.48,253.67,2,3024.27
DATA_PREP_job_009,sleep 6,397.75,892.61,0,2205.39
LLM_INFER_job_010,sleep 4,258.37,719.90,2,1970.78
LLM_TRAIN_job_011,sleep 30,1832.46,3878.27,0,3457.05
LLM_FT_job_012,sleep 32,1931.28,3638.94,1,2061.83
LLM_FT_job_013,sleep 33,2039.02,5671.32,1,139.59
VISION_TRAIN_job_014,sleep 17,1071.75,2536.09,1,3032.13
LLM_INFER_job_015,sleep 2,156.74,417.38,2,2557.82
LLM_TRAIN_job_016,sleep 70,4204.48,8245.69,1,3491.39
LLM_INFER_job_017,sleep 3,224.13,366.06,2,1953.69
LLM_INFER_job_018,sleep 4,282.36,460.77,2,430.75
LLM_TRAIN_job_019,sleep 88,5335.68,13495.07,1,81.27
LLM_TRAIN_job_020,sleep 60,3600.57,10257.82,1,1401.28
VISION_TRAIN_job_021,sleep 10,647.85,1391.68,1,3412.90
LLM_FT_job_022,sleep 15,948.22,2597.94,2,3407.46
EVAL_job_023,sleep 6,374.31,1029.85,2,631.42
LLM_FT_job_024,sleep 39,2353.38,4869.41,2,2110.24
EVAL_job_025,sleep 9,545.54,874.18,1,362.69
LLM_FT_job_026,sleep 29,1772.52,3442.23,1,3297.27
EVAL_job_027,sleep 5,325.89,810.60,1,1252.66
LLM_FT_job_028,sleep 44,2658.14,6226.62,1,147.09
LLM_FT_job_029,sleep 35,2152.44,5698.31,2,2743.61
VISION_TRAIN_job_030,sleep 13,780.68,1681.74,1,712.76
LLM_INFER_job_031,sleep 4,241.83,553.13,2,1953.76
LLM_TRAIN_job_032,sleep 40,2404.13,5434.96,0,2427.50
LLM_FT_job_033,sleep 38,2309.45,5800.36,1,1855.04
LLM_FT_job_034,sleep 16,968.88,1737.06,1,83.42
LLM_FT_job_035,sleep 18,1093.13,1836.87,2,2145.39
EVAL_job_036,sleep 4,253.39,614.74,1,2048.18
EVAL_job_037,sleep 13,816.59,1989.29,1,2536.88
LLM_TRAIN_job_038,sleep 58,3514.58,9382.05,1,2091.62
LLM_INFER_job_039,sleep 2,169.29,473.75,2,2058.20
DATA_PREP_job_040,sleep 2,125.61,313.53,0,2302.44
LLM_INFER_job_041,sleep 4,254.02,635.64,2,1958.70
VISION_TRAIN_job_042,sleep 38,2327.92,4026.76,1,2691.83
LLM_TRAIN_job_043,sleep 43,2582.81,5182.10,1,2744.42
LLM_FT_job_044,sleep 25,1520.96,4161.24,1,2004.11
LLM_TRAIN_job_045,sleep 74,4496.38,10340.27,1,3494.61
LLM_INFER_job_046,sleep 3,190.28,326.02,2,3078.08
DATA_PREP_job_047,sleep 5,305.45,611.10,0,2272.82
EVAL_job_048,sleep 8,525.88,1318.30,2,5.00
LLM_FT_job_049,sleep 42,2542.38,6608.01,2,3432.22
